"id","answer","query","d1A","d2A","d3A","d4A","d5A","d1B","d2B","d3B","d4B","d5B","DCGlzA","DCGlzB","DCGll2A","DCGll2B","DCGll3A","DCGll3B","DCGll5A","DCGll5B","DCGllA","DCGllB","DCGlnA","DCGlnB","DCGe2zA","DCGe2zB","DCGe2l2A","DCGe2l2B","DCGe2l3A","DCGe2l3B","DCGe2l5A","DCGe2l5B","DCGe2lA","DCGe2lB","DCGe2nA","DCGe2nB","DCGe3zA","DCGe3zB","DCGe3l2A","DCGe3l2B","DCGe3l3A","DCGe3l3B","DCGe3l5A","DCGe3l5B","DCGe3lA","DCGe3lB","DCGe3nA","DCGe3nB","DCGe5zA","DCGe5zB","DCGe5l2A","DCGe5l2B","DCGe5l3A","DCGe5l3B","DCGe5l5A","DCGe5l5B","DCGe5lA","DCGe5lB","DCGe5nA","DCGe5nB","DCGb1zA","DCGb1zB","DCGb1l2A","DCGb1l2B","DCGb1l3A","DCGb1l3B","DCGb1l5A","DCGb1l5B","DCGb1lA","DCGb1lB","DCGb1nA","DCGb1nB","DCGb2zA","DCGb2zB","DCGb2l2A","DCGb2l2B","DCGb2l3A","DCGb2l3B","DCGb2l5A","DCGb2l5B","DCGb2lA","DCGb2lB","DCGb2nA","DCGb2nB","comments"
42,"b","d013745","a006714","a005967","f005182","d017596","d008136","d019560","d001869","d009960","d008505","d012150",0.197,1,0.277,1,0.322,1,0.356,1,0.2,1,0.4,1,0.197,1,0.277,1,0.322,1,0.356,1,0.2,1,0.4,1,0.197,1,0.277,1,0.322,1,0.356,1,0.2,1,0.4,1,0.197,1,0.277,1,0.322,1,0.356,1,0.2,1,0.4,1,0.197,1,0.277,1,0.322,1,0.356,1,0.2,1,0.4,1,0.197,1,0.277,1,0.322,1,0.356,1,0.2,1,0.4,1,""
43,"a","e015566","e004265","e005764","e002821","e001490","e004827","a008439","e001212","b013648","e013249","a007868",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,""
44,"a","e009441","e002147","b019676","d002813","f001351","e001198","d007831","f012483","b000045","e013746","b008939",0,0.073,0,0.085,0,0.093,0,0.098,0,0.1,0,0.1,0,0.049,0,0.057,0,0.062,0,0.065,0,0.067,0,0.067,0,0.036,0,0.042,0,0.047,0,0.049,0,0.05,0,0.05,0,0.024,0,0.028,0,0.031,0,0.033,0,0.033,0,0.033,0,0.146,0,0.17,0,0.187,0,0.195,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
45,"a","e015566","e007633","e004265","e002988","e014293","e002821","e013215","b013648","e003352","b009042","e001212",0.726,0.219,0.757,0.17,0.779,0.137,0.79,0.118,0.767,0.167,0.8,0.1,0.635,0.146,0.677,0.113,0.706,0.091,0.721,0.079,0.689,0.111,0.733,0.067,0.589,0.109,0.636,0.085,0.669,0.068,0.686,0.059,0.65,0.083,0.7,0.05,0.544,0.073,0.596,0.057,0.632,0.046,0.651,0.039,0.611,0.056,0.667,0.033,1,0.438,1,0.339,1,0.274,1,0.236,1,0.333,1,0.2,0.453,0,0.515,0,0.558,0,0.581,0,0.533,0,0.6,0,"Nope."
46,"good","b003088","e004999","b012587","b001100","b013074","b018630","b016513","b018630","b002075","b007248","b012109",0.453,1,0.554,1,0.618,1,0.658,1,0.533,1,0.7,1,0.416,1,0.518,1,0.582,1,0.622,1,0.489,1,0.667,1,0.398,1,0.5,1,0.564,1,0.604,1,0.467,1,0.65,1,0.38,1,0.483,1,0.545,1,0.587,1,0.444,1,0.633,1,0.562,1,0.661,1,0.726,1,0.764,1,0.667,1,0.8,1,0.343,1,0.447,1,0.509,1,0.551,1,0.4,1,0.6,1,""
47,"good","b011546","a007868","a000840","a006836","a006808","b009401","b010826","a000897","b004116","a001145","b012102",1,0.891,1,0.893,1,0.892,1,0.894,1,0.867,1,0.9,1,0.854,1,0.857,1,0.855,1,0.858,1,0.822,1,0.867,1,0.836,1,0.84,1,0.837,1,0.841,1,0.8,1,0.85,1,0.818,1,0.822,1,0.819,1,0.823,1,0.778,1,0.833,1,1,1,1,1,1,1,1,1,1,1,1,1,0.781,1,0.786,1,0.783,1,0.788,1,0.733,1,0.8,""
48,"good","d014060","d015530","e009801","d019312","d016151","e013756","d006853","d016151","d012538","d012929","d004370",0.401,0.872,0.4,0.842,0.398,0.823,0.399,0.811,0.4,0.833,0.4,0.8,0.304,0.83,0.316,0.79,0.321,0.764,0.327,0.748,0.311,0.778,0.333,0.733,0.255,0.808,0.273,0.763,0.283,0.734,0.291,0.716,0.267,0.75,0.3,0.7,0.207,0.787,0.231,0.737,0.245,0.704,0.255,0.685,0.222,0.722,0.267,0.667,0.693,1,0.655,1,0.628,1,0.615,1,0.667,1,0.6,1,0.109,0.745,0.146,0.684,0.168,0.645,0.183,0.622,0.133,0.667,0.2,0.6,""
49,"bad","d019774","e002930","d000058","e017735","d013529","d001217","d005505","d005923","e006719","d009504","d010035",0.471,0.763,0.481,0.735,0.484,0.714,0.489,0.705,0.433,0.7,0.5,0.7,0.343,0.684,0.364,0.647,0.374,0.619,0.384,0.606,0.311,0.6,0.4,0.6,0.279,0.644,0.306,0.603,0.319,0.571,0.331,0.557,0.25,0.55,0.35,0.55,0.215,0.605,0.248,0.559,0.264,0.524,0.278,0.508,0.189,0.5,0.3,0.5,0.854,1,0.83,1,0.813,1,0.805,1,0.8,1,0.8,1,0.088,0.526,0.131,0.47,0.155,0.428,0.173,0.409,0.067,0.4,0.2,0.4,""
50,"bad","e015137","d013762","e009063","d009949","b008929","a005422","d011904","e000208","a001299","b010813","e003982",0.274,0.391,0.287,0.437,0.301,0.472,0.304,0.488,0.333,0.467,0.3,0.5,0.255,0.333,0.263,0.363,0.273,0.387,0.273,0.396,0.311,0.4,0.267,0.4,0.246,0.305,0.251,0.326,0.259,0.344,0.258,0.35,0.3,0.367,0.25,0.35,0.237,0.276,0.238,0.288,0.245,0.302,0.243,0.304,0.289,0.333,0.233,0.3,0.328,0.562,0.36,0.661,0.385,0.726,0.395,0.764,0.4,0.667,0.4,0.8,0.219,0.219,0.214,0.214,0.217,0.217,0.212,0.212,0.267,0.267,0.2,0.2,"both sound bad to me."
51,"bad","b019038","b007446","b004124","b013516","d005186","f015601","a009566","d005186","b018483","b003458","b012964",0.657,0.215,0.553,0.289,0.491,0.332,0.449,0.362,0.6,0.233,0.4,0.4,0.657,0.173,0.553,0.236,0.491,0.273,0.449,0.299,0.6,0.178,0.4,0.333,0.657,0.151,0.553,0.21,0.491,0.243,0.449,0.268,0.6,0.15,0.4,0.3,0.657,0.13,0.553,0.184,0.491,0.214,0.449,0.236,0.6,0.122,0.4,0.267,0.657,0.343,0.553,0.447,0.491,0.509,0.449,0.551,0.6,0.4,0.4,0.6,0.657,0.088,0.553,0.131,0.491,0.155,0.449,0.173,0.6,0.067,0.4,0.2,"Nope."
52,"b","e012026","e002298","e015042","e008869","d008505","e001639","e000426","e005516","e012453","e015042","e006775",0.153,0.901,0.173,0.861,0.186,0.839,0.193,0.822,0.167,0.9,0.2,0.8,0.102,0.869,0.115,0.815,0.124,0.785,0.128,0.763,0.111,0.867,0.133,0.733,0.077,0.852,0.086,0.792,0.093,0.758,0.096,0.733,0.083,0.85,0.1,0.7,0.051,0.836,0.058,0.769,0.062,0.731,0.064,0.703,0.056,0.833,0.067,0.667,0.307,1,0.345,1,0.372,1,0.385,1,0.333,1,0.4,1,0,0.803,0,0.723,0,0.678,0,0.644,0,0.8,0,0.6,"Nope."
53,"bad","b013451","a000895","b003470","b019609","a006594","b005032","a005338","b013065","b010204","a000895","d018936",0.117,0,0.15,0,0.171,0,0.184,0,0.133,0,0.2,0,0.078,0,0.1,0,0.114,0,0.123,0,0.089,0,0.133,0,0.058,0,0.075,0,0.085,0,0.092,0,0.067,0,0.1,0,0.039,0,0.05,0,0.057,0,0.061,0,0.044,0,0.067,0,0.234,0,0.301,0,0.341,0,0.369,0,0.267,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nope."
54,"b","e019474","b017474","b010204","e009438","b019744","f009119","e017002","b017474","e002899","b006846","e006110",0.474,0.69,0.446,0.65,0.432,0.621,0.42,0.607,0.5,0.6,0.4,0.6,0.365,0.635,0.354,0.59,0.35,0.557,0.345,0.541,0.4,0.533,0.333,0.533,0.31,0.608,0.308,0.56,0.31,0.525,0.308,0.508,0.35,0.5,0.3,0.5,0.255,0.58,0.262,0.53,0.269,0.492,0.27,0.475,0.3,0.467,0.267,0.467,0.803,0.854,0.723,0.83,0.678,0.813,0.644,0.805,0.8,0.8,0.6,0.8,0.146,0.526,0.17,0.47,0.187,0.428,0.195,0.409,0.2,0.4,0.2,0.4,""
55,"bad","e010067","e012771","d016926","e015744","e008869","e007880","e012771","d013078","a001937","d008461","e008869",0.737,0.526,0.72,0.47,0.706,0.428,0.701,0.409,0.7,0.4,0.7,0.4,0.723,0.526,0.699,0.47,0.68,0.428,0.672,0.409,0.689,0.4,0.667,0.4,0.715,0.526,0.688,0.47,0.667,0.428,0.658,0.409,0.683,0.4,0.65,0.4,0.708,0.526,0.677,0.47,0.654,0.428,0.643,0.409,0.678,0.4,0.633,0.4,0.781,0.526,0.786,0.47,0.783,0.428,0.788,0.409,0.733,0.4,0.8,0.4,0.693,0.526,0.655,0.47,0.628,0.428,0.615,0.409,0.667,0.4,0.6,0.4,""
56,"b","b019570","e017154","b005105","b008188","b001893","b018075","b007294","b002597","b002890","b015555","b005105",0.653,1,0.673,1,0.686,1,0.693,1,0.667,1,0.7,1,0.538,1,0.563,1,0.581,1,0.59,1,0.556,1,0.6,1,0.48,1,0.509,1,0.529,1,0.539,1,0.5,1,0.55,1,0.422,1,0.454,1,0.476,1,0.488,1,0.444,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.307,1,0.345,1,0.372,1,0.385,1,0.333,1,0.4,1,""
57,"bad","b016172","e010366","e003338","d019963","e018583","d004770","d004189","e001718","e013756","d008188","d000286",0.109,0,0.107,0,0.108,0,0.106,0,0.133,0,0.1,0,0.073,0,0.071,0,0.072,0,0.071,0,0.089,0,0.067,0,0.055,0,0.053,0,0.054,0,0.053,0,0.067,0,0.05,0,0.036,0,0.036,0,0.036,0,0.035,0,0.044,0,0.033,0,0.219,0,0.214,0,0.217,0,0.212,0,0.267,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
58,"b","b011148","d014177","f009118","e001198","d001657","d017670","b008531","b005927","b017754","b017737","b013379",0,0.858,0,0.796,0,0.762,0,0.735,0,0.867,0,0.7,0,0.839,0,0.771,0,0.734,0,0.705,0,0.844,0,0.667,0,0.83,0,0.759,0,0.72,0,0.69,0,0.833,0,0.65,0,0.821,0,0.747,0,0.706,0,0.674,0,0.822,0,0.633,0,0.912,0,0.869,0,0.845,0,0.827,0,0.933,0,0.8,0,0.803,0,0.723,0,0.678,0,0.644,0,0.8,0,0.6,""
59,"bad","e004944","e014698","e013215","e002349","b003812","e002638","b016322","b006144","d018906","b003812","e014167",0.891,0.088,0.854,0.131,0.832,0.155,0.817,0.173,0.867,0.067,0.8,0.2,0.891,0.088,0.854,0.131,0.832,0.155,0.817,0.173,0.867,0.067,0.8,0.2,0.891,0.088,0.854,0.131,0.832,0.155,0.817,0.173,0.867,0.067,0.8,0.2,0.891,0.088,0.854,0.131,0.832,0.155,0.817,0.173,0.867,0.067,0.8,0.2,0.891,0.088,0.854,0.131,0.832,0.155,0.817,0.173,0.867,0.067,0.8,0.2,0.891,0.088,0.854,0.131,0.832,0.155,0.817,0.173,0.867,0.067,0.8,0.2,""
60,"b","b001686","d000414","b009365","b012218","b000321","d014177","b009365","f019812","b010596","b004162","f007967",0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,"B IS GOOD"
61,"good","d007856","d010889","d009586","d012127","d004906","d005265","d008368","d015916","d018908","d009084","d014060",0.763,0.336,0.735,0.403,0.714,0.447,0.705,0.473,0.7,0.4,0.7,0.5,0.684,0.26,0.647,0.318,0.619,0.354,0.606,0.376,0.6,0.311,0.6,0.4,0.644,0.223,0.603,0.275,0.571,0.307,0.557,0.328,0.55,0.267,0.55,0.35,0.605,0.185,0.559,0.232,0.524,0.261,0.508,0.28,0.5,0.222,0.5,0.3,1,0.562,1,0.661,1,0.726,1,0.764,1,0.667,1,0.8,0.526,0.109,0.47,0.146,0.428,0.168,0.409,0.183,0.4,0.133,0.4,0.2,""
62,"b","b007455","b006009","b006433","b007191","b011674","b008235","b011674","b006009","b019571","b010346","b002136",0.839,0.891,0.784,0.854,0.752,0.832,0.729,0.817,0.833,0.867,0.7,0.8,0.815,0.891,0.756,0.854,0.721,0.832,0.697,0.817,0.8,0.867,0.667,0.8,0.803,0.891,0.742,0.854,0.705,0.832,0.68,0.817,0.783,0.867,0.65,0.8,0.791,0.891,0.727,0.854,0.69,0.832,0.664,0.817,0.767,0.867,0.633,0.8,0.912,0.891,0.869,0.854,0.845,0.832,0.827,0.817,0.933,0.867,0.8,0.8,0.766,0.891,0.699,0.854,0.659,0.832,0.631,0.817,0.733,0.867,0.6,0.8,""
63,"bad","b016172","e006260","e002050","e000139","e012037","b009616","e007548","e007589","d004189","e013756","e018583",0.164,0,0.18,0,0.192,0,0.198,0,0.2,0,0.2,0,0.109,0,0.12,0,0.128,0,0.132,0,0.133,0,0.133,0,0.082,0,0.09,0,0.096,0,0.099,0,0.1,0,0.1,0,0.055,0,0.06,0,0.064,0,0.066,0,0.067,0,0.067,0,0.328,0,0.36,0,0.385,0,0.395,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,""
64,"b","b009504","b009263","e008927","b007704","b004672","a005142","a004471","b007704","b012493","a004973","a004204",0,0.566,0,0.497,0,0.451,0,0.425,0,0.5,0,0.4,0,0.523,0,0.444,0,0.392,0,0.362,0,0.444,0,0.333,0,0.502,0,0.418,0,0.362,0,0.331,0,0.417,0,0.3,0,0.481,0,0.392,0,0.333,0,0.299,0,0.389,0,0.267,0,0.693,0,0.655,0,0.628,0,0.615,0,0.667,0,0.6,0,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,""
65,"a","d012347","d014148","d011336","d011518","d012346","d008428","e010478","e018734","e005948","e007242","e014478",0.945,0,0.927,0,0.916,0,0.909,0,0.933,0,0.9,0,0.927,0,0.903,0,0.888,0,0.878,0,0.911,0,0.867,0,0.918,0,0.89,0,0.874,0,0.863,0,0.9,0,0.85,0,0.909,0,0.878,0,0.86,0,0.848,0,0.889,0,0.833,0,1,0,1,0,1,0,1,0,1,0,1,0,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,0,""
66,"good","f019182","b007022","b000114","f010921","a005601","b000996","b003940","b013091","b019126","a003256","b019940",0.109,0.361,0.146,0.374,0.168,0.375,0.183,0.383,0.133,0.3,0.2,0.4,0.109,0.27,0.146,0.293,0.168,0.302,0.183,0.313,0.133,0.222,0.2,0.333,0.109,0.224,0.146,0.253,0.168,0.265,0.183,0.278,0.133,0.183,0.2,0.3,0.109,0.179,0.146,0.212,0.168,0.228,0.183,0.243,0.133,0.144,0.2,0.267,0.109,0.635,0.146,0.616,0.168,0.596,0.183,0.592,0.133,0.533,0.2,0.6,0.109,0.088,0.146,0.131,0.168,0.155,0.183,0.173,0.133,0.067,0.2,0.2,""
67,"b","d010273","d000608","d009608","d008854","d012097","e018139","d011711","d001164","d008854","d017296","d000847",0.766,0.646,0.699,0.585,0.659,0.543,0.631,0.52,0.733,0.567,0.6,0.5,0.766,0.577,0.699,0.503,0.659,0.454,0.631,0.426,0.733,0.489,0.6,0.4,0.766,0.542,0.699,0.462,0.659,0.409,0.631,0.378,0.733,0.45,0.6,0.35,0.766,0.507,0.699,0.421,0.659,0.364,0.631,0.331,0.733,0.411,0.6,0.3,0.766,0.854,0.699,0.83,0.659,0.813,0.631,0.805,0.733,0.8,0.6,0.8,0.766,0.438,0.699,0.339,0.659,0.274,0.631,0.236,0.733,0.333,0.6,0.2,""
68,"b","d018106","e013756","e013469","e001198","d005677","d013573","d013573","d004099","d010035","d016839","e013469",0.088,0.803,0.131,0.723,0.155,0.678,0.173,0.644,0.067,0.8,0.2,0.6,0.088,0.803,0.131,0.723,0.155,0.678,0.173,0.644,0.067,0.8,0.2,0.6,0.088,0.803,0.131,0.723,0.155,0.678,0.173,0.644,0.067,0.8,0.2,0.6,0.088,0.803,0.131,0.723,0.155,0.678,0.173,0.644,0.067,0.8,0.2,0.6,0.088,0.803,0.131,0.723,0.155,0.678,0.173,0.644,0.067,0.8,0.2,0.6,0.088,0.803,0.131,0.723,0.155,0.678,0.173,0.644,0.067,0.8,0.2,0.6,""
69,"a","d008942","d013586","d019242","d002990","d019208","d000393","e013756","e001198","e012412","e008934","e009801",1,0.073,1,0.085,1,0.093,1,0.098,1,0.1,1,0.1,1,0.049,1,0.057,1,0.062,1,0.065,1,0.067,1,0.067,1,0.036,1,0.042,1,0.047,1,0.049,1,0.05,1,0.05,1,0.024,1,0.028,1,0.031,1,0.033,1,0.033,1,0.033,1,0.146,1,0.17,1,0.187,1,0.195,1,0.2,1,0.2,1,0,1,0,1,0,1,0,1,0,1,0,""
70,"bad","b005832","b004021","e000998","e000475","b013750","b012912","b015517","a003466","b012912","b006955","b017754",0.099,0.828,0.139,0.777,0.161,0.745,0.178,0.724,0.1,0.8,0.2,0.7,0.066,0.771,0.092,0.702,0.107,0.66,0.119,0.632,0.067,0.733,0.133,0.6,0.049,0.743,0.069,0.665,0.081,0.618,0.089,0.586,0.05,0.7,0.1,0.55,0.033,0.714,0.046,0.628,0.054,0.576,0.059,0.54,0.033,0.667,0.067,0.5,0.197,1,0.277,1,0.322,1,0.356,1,0.2,1,0.4,1,0,0.657,0,0.553,0,0.491,0,0.449,0,0.6,0,0.4,""
71,"bad","b012933","b019830","b005461","e004186","b008925","f001351","a002856","b011546","f001351","b005461","e011503",0.427,0.237,0.415,0.265,0.407,0.286,0.402,0.295,0.4,0.3,0.4,0.3,0.285,0.158,0.277,0.177,0.271,0.191,0.268,0.197,0.267,0.2,0.267,0.2,0.214,0.119,0.208,0.132,0.203,0.143,0.201,0.148,0.2,0.15,0.2,0.15,0.142,0.079,0.138,0.088,0.136,0.095,0.134,0.098,0.133,0.1,0.133,0.1,0.854,0.474,0.83,0.53,0.813,0.572,0.805,0.591,0.8,0.6,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,""
72,"b","e012026","d019231","b019980","e002298","e009948","e015274","e000426","e013904","e003678","e016547","e005508",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,""
73,"good","b010090","a009530","a007977","a009367","b000314","a001891","e008302","a005930","a002531","a007869","a007977",1,0.562,1,0.661,1,0.726,1,0.764,1,0.667,1,0.8,1,0.562,1,0.661,1,0.726,1,0.764,1,0.667,1,0.8,1,0.562,1,0.661,1,0.726,1,0.764,1,0.667,1,0.8,1,0.562,1,0.661,1,0.726,1,0.764,1,0.667,1,0.8,1,0.562,1,0.661,1,0.726,1,0.764,1,0.667,1,0.8,1,0.562,1,0.661,1,0.726,1,0.764,1,0.667,1,0.8,""
74,"good","a004471","e001198","a009704","a005422","a000840","a007514","a003244","a009704","a002970","b001977","a004037",0.325,0.573,0.396,0.585,0.44,0.593,0.468,0.598,0.367,0.6,0.5,0.6,0.246,0.431,0.308,0.446,0.345,0.458,0.37,0.464,0.267,0.467,0.4,0.467,0.206,0.359,0.264,0.377,0.297,0.39,0.321,0.397,0.217,0.4,0.35,0.4,0.167,0.288,0.219,0.308,0.25,0.322,0.272,0.33,0.167,0.333,0.3,0.333,0.562,1,0.661,1,0.726,1,0.764,1,0.667,1,0.8,1,0.088,0.146,0.131,0.17,0.155,0.187,0.173,0.195,0.067,0.2,0.2,0.2,""
75,"a","b018747","b014618","a003323","a005930","a006408","a007063","f001501","e013794","d007272","a003304","b013943",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,""
76,"b","d004429","e001684","e006320","e010745","b010900","d007272","e003091","a001494","d017142","e008869","e007455",0.489,0.573,0.493,0.585,0.493,0.593,0.495,0.598,0.467,0.6,0.5,0.6,0.355,0.431,0.372,0.446,0.38,0.458,0.388,0.464,0.333,0.467,0.4,0.467,0.288,0.359,0.312,0.377,0.324,0.39,0.334,0.397,0.267,0.4,0.35,0.4,0.221,0.288,0.252,0.308,0.267,0.322,0.28,0.33,0.2,0.333,0.3,0.333,0.891,1,0.854,1,0.832,1,0.817,1,0.867,1,0.8,1,0.088,0.146,0.131,0.17,0.155,0.187,0.173,0.195,0.067,0.2,0.2,0.2,""
77,"a","d003863","d009396","d004033","d019909","d004936","e003490","d002814","d017335","e003490","b002424","e016226",0.901,0.62,0.861,0.531,0.839,0.476,0.822,0.44,0.9,0.567,0.8,0.4,0.869,0.56,0.815,0.467,0.785,0.408,0.763,0.372,0.867,0.489,0.733,0.333,0.852,0.529,0.792,0.435,0.758,0.375,0.733,0.338,0.85,0.45,0.7,0.3,0.836,0.499,0.769,0.403,0.731,0.341,0.703,0.304,0.833,0.411,0.667,0.267,1,0.803,1,0.723,1,0.678,1,0.644,1,0.8,1,0.6,0.803,0.438,0.723,0.339,0.678,0.274,0.644,0.236,0.8,0.333,0.6,0.2,""
78,"bad","e012584","a002066","f007073","d002948","b003965","e014930","e014930","b006210","b018419","e016078","b003965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
79,"bad","d014940","e008117","d000188","d008368","b008627","d015538","d016699","d015229","d015916","e008117","d011703",0.27,0.197,0.323,0.238,0.356,0.263,0.377,0.279,0.3,0.2,0.4,0.3,0.209,0.161,0.259,0.203,0.289,0.227,0.309,0.244,0.222,0.156,0.333,0.267,0.179,0.142,0.227,0.185,0.256,0.209,0.275,0.226,0.183,0.133,0.3,0.25,0.148,0.124,0.195,0.167,0.222,0.191,0.241,0.208,0.144,0.111,0.267,0.233,0.453,0.307,0.515,0.345,0.558,0.372,0.581,0.385,0.533,0.333,0.6,0.4,0.088,0.088,0.131,0.131,0.155,0.155,0.173,0.173,0.067,0.067,0.2,0.2,""
80,"good","d003313","d013196","d003050","e005425","e008934","d010249","d017711","d001431","d014582","d019125","d004770",0.372,0.555,0.342,0.573,0.323,0.584,0.311,0.591,0.333,0.567,0.3,0.6,0.248,0.406,0.228,0.431,0.215,0.445,0.207,0.455,0.222,0.422,0.2,0.467,0.186,0.332,0.171,0.36,0.161,0.376,0.155,0.387,0.167,0.35,0.15,0.4,0.124,0.258,0.114,0.288,0.108,0.307,0.104,0.319,0.111,0.278,0.1,0.333,0.745,1,0.684,1,0.645,1,0.622,1,0.667,1,0.6,1,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,""
81,"bad","e015590","d015486","d002538","e012551","e001802","e012292","e002045","e017818","e003372","e013553","b004334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
82,"good","d000095","d012238","d005530","d018584","d009214","d015709","e017379","d019888","d018361","d012432","d012238",0.927,0.507,0.915,0.588,0.907,0.642,0.902,0.672,0.9,0.6,0.9,0.7,0.903,0.489,0.887,0.563,0.875,0.614,0.87,0.642,0.867,0.578,0.867,0.667,0.891,0.48,0.873,0.551,0.86,0.6,0.853,0.627,0.85,0.567,0.85,0.65,0.878,0.471,0.859,0.539,0.844,0.586,0.837,0.611,0.833,0.556,0.833,0.633,1,0.562,1,0.661,1,0.726,1,0.764,1,0.667,1,0.8,0.854,0.453,0.83,0.515,0.813,0.558,0.805,0.581,0.8,0.533,0.8,0.6,""
83,"good","e001113","e004844","e014025","f000645","e004251","e010655","e010655","e010865","e006867","e015590","e019813",0.712,0.215,0.626,0.289,0.575,0.332,0.54,0.362,0.667,0.233,0.5,0.4,0.693,0.173,0.602,0.236,0.547,0.273,0.51,0.299,0.644,0.178,0.467,0.333,0.684,0.151,0.59,0.21,0.533,0.243,0.494,0.268,0.633,0.15,0.45,0.3,0.675,0.13,0.577,0.184,0.519,0.214,0.479,0.236,0.622,0.122,0.433,0.267,0.766,0.343,0.699,0.447,0.659,0.509,0.631,0.551,0.733,0.4,0.6,0.6,0.657,0.088,0.553,0.131,0.491,0.155,0.449,0.173,0.6,0.067,0.4,0.2,""
84,"bad","e012584","b009295","a007005","b016974","b003965","a009956","b001408","b002647","e008300","b003459","a006865",0.109,0.912,0.107,0.869,0.108,0.845,0.106,0.827,0.133,0.933,0.1,0.8,0.073,0.912,0.071,0.869,0.072,0.845,0.071,0.827,0.089,0.933,0.067,0.8,0.055,0.912,0.053,0.869,0.054,0.845,0.053,0.827,0.067,0.933,0.05,0.8,0.036,0.912,0.036,0.869,0.036,0.845,0.035,0.827,0.044,0.933,0.033,0.8,0.219,0.912,0.214,0.869,0.217,0.845,0.212,0.827,0.267,0.933,0.2,0.8,0,0.912,0,0.869,0,0.845,0,0.827,0,0.933,0,0.8,""
85,"a","e000039","e000236","b006949","e001971","e019249","e008934","d002494","e001183","d003336","e009801","e008934",0.288,0.252,0.374,0.311,0.425,0.347,0.46,0.371,0.333,0.267,0.5,0.4,0.27,0.197,0.349,0.251,0.397,0.283,0.43,0.305,0.311,0.2,0.467,0.333,0.261,0.17,0.337,0.221,0.383,0.251,0.414,0.272,0.3,0.167,0.45,0.3,0.252,0.142,0.325,0.191,0.369,0.219,0.399,0.239,0.289,0.133,0.433,0.267,0.343,0.416,0.447,0.491,0.509,0.539,0.551,0.568,0.4,0.467,0.6,0.6,0.234,0.088,0.301,0.131,0.341,0.155,0.369,0.173,0.267,0.067,0.4,0.2,""
86,"b","e003502","d000967","e004746","e008805","d002653","e011529","e013209","e006459","e004926","e000995","e004894",0.27,0.945,0.323,0.927,0.356,0.916,0.377,0.909,0.3,0.933,0.4,0.9,0.209,0.927,0.259,0.903,0.289,0.888,0.309,0.878,0.222,0.911,0.333,0.867,0.179,0.918,0.227,0.89,0.256,0.874,0.275,0.863,0.183,0.9,0.3,0.85,0.148,0.909,0.195,0.878,0.222,0.86,0.241,0.848,0.144,0.889,0.267,0.833,0.453,1,0.515,1,0.558,1,0.581,1,0.533,1,0.6,1,0.088,0.891,0.131,0.854,0.155,0.832,0.173,0.817,0.067,0.867,0.2,0.8,""
